item_id,trad_EOQ,ml_EOQ,trad_ROP,ml_ROP,trad_Safety,ml_Safety,trad_TotalCost,ml_TotalCost,cost_saving,pct_saving
item_1,1203.38,361.87,4786.61,419.03,883.02,66.07,16914.46,5086.02,11828.44,69.93
item_10,907.7,269.84,2460.27,211.23,457.02,34.19,11507.66,3420.92,8086.74,70.27
item_11,915.87,272.0,2684.7,230.74,497.84,37.84,12450.38,3697.87,8752.51,70.3
item_12,787.05,235.53,2240.03,195.42,418.75,32.32,12066.23,3610.71,8455.52,70.08
item_13,1158.41,349.56,4228.73,375.8,766.79,60.56,15583.07,4702.43,10880.64,69.82
item_14,885.86,265.9,2550.09,223.81,476.28,36.96,12206.62,3664.14,8542.48,69.98
item_15,821.07,246.22,2266.78,198.19,419.44,32.08,11731.79,3517.83,8213.96,70.01
item_16,1055.29,317.13,3218.65,284.07,581.15,45.86,13032.12,3916.56,9115.56,69.95
item_17,759.98,226.03,1758.23,150.54,329.44,24.15,9803.04,2915.73,6887.31,70.26
item_18,1223.24,365.68,4181.25,363.33,766.6,58.14,14555.57,4351.64,10203.93,70.1
item_19,692.4,206.36,1516.89,131.27,278.89,21.3,9323.07,2778.68,6544.39,70.2
item_2,1131.8,338.8,4097.35,354.94,759.85,55.89,15376.18,4602.61,10773.57,70.07
item_20,1223.24,365.47,4882.71,421.33,905.1,66.3,16955.33,5065.38,11889.95,70.13
item_21,1158.9,346.7,4097.58,356.65,752.17,57.26,15052.06,4502.74,10549.32,70.09
item_22,774.36,233.38,1955.73,172.83,361.26,28.0,10736.69,3235.88,7500.81,69.86
item_23,644.14,191.42,1271.64,108.21,241.66,17.24,8337.61,2477.98,5859.63,70.28
item_24,1202.32,359.81,4219.21,368.7,766.22,59.45,14975.12,4481.47,10493.65,70.07
item_25,1084.78,326.02,3823.21,335.15,707.32,53.69,14977.41,4501.57,10475.84,69.94
item_26,1171.86,352.78,3898.15,344.08,722.24,56.23,14131.5,4254.54,9876.96,69.89
item_27,1157.07,346.52,4062.34,354.36,738.55,56.26,14978.49,4485.69,10492.8,70.05
item_28,667.71,200.16,1506.27,132.41,275.52,21.81,9611.22,2881.27,6729.95,70.02
item_29,912.2,271.22,2608.67,223.7,495.57,36.88,12078.91,3591.62,8487.29,70.27
item_3,1206.36,361.05,4673.08,405.96,856.81,64.15,16495.12,4936.4,11558.72,70.07
item_30,707.84,213.16,1659.39,145.83,310.41,23.49,9937.2,2992.71,6944.49,69.88
item_31,1152.77,345.09,4441.35,384.87,825.73,60.84,16354.45,4895.98,11458.47,70.06
item_32,1038.18,310.69,3578.88,311.4,664.12,50.38,14639.39,4380.73,10258.66,70.08
item_33,863.14,256.87,2456.12,212.56,445.52,34.49,12146.22,3614.77,8531.45,70.24
item_34,650.15,194.93,1465.67,128.16,274.82,21.11,9550.74,2863.59,6687.15,70.02
item_35,855.78,257.42,2370.41,209.18,440.49,34.57,11758.93,3536.91,8222.02,69.92
item_36,866.09,260.61,2395.97,211.55,438.47,34.31,11785.13,3546.26,8238.87,69.91
item_37,1115.16,335.37,3865.12,340.15,700.5,53.91,14797.29,4450.4,10346.89,69.92
item_38,1151.09,344.49,3609.62,314.66,661.97,50.65,13352.44,3996.11,9356.33,70.07
item_39,1166.58,348.38,4542.68,390.95,851.92,61.83,16496.63,4926.03,11570.6,70.14
item_4,1142.37,340.4,4519.69,389.05,828.24,61.28,16849.36,5020.85,11828.51,70.2
item_40,967.02,288.41,3017.67,261.49,553.74,42.3,13285.78,3962.81,9322.97,70.17
item_41,757.05,227.75,1673.39,147.55,309.6,24.12,9393.3,2825.8,6567.5,69.92
item_42,1121.24,334.07,3872.54,333.77,721.03,53.97,14656.02,4367.17,10288.85,70.2
item_43,1130.61,337.59,4044.35,351.45,741.14,56.93,15234.12,4549.06,10685.06,70.14
item_44,1057.42,316.66,3312.29,287.76,609.68,45.42,13326.9,3990.65,9336.25,70.06
item_45,1137.84,338.47,4135.0,354.28,780.72,57.45,15371.43,4572.79,10798.64,70.25
item_46,1014.91,304.94,3047.33,267.49,560.64,43.02,12775.78,3838.38,8937.4,69.96
item_47,1006.76,300.69,3160.65,274.77,575.7,44.19,13388.2,3998.45,9389.75,70.13
item_48,900.72,270.0,2775.86,243.56,504.4,39.44,13149.48,3941.98,9207.5,70.02
item_49,637.45,192.58,1306.51,115.65,245.02,18.78,8682.89,2622.92,6059.97,69.79
item_5,1045.89,314.22,3414.44,299.92,626.32,48.27,13900.19,4176.01,9724.18,69.96
item_50,662.8,199.14,1644.87,145.26,301.43,24.0,10568.89,3175.22,7393.67,69.96
item_6,1219.87,362.51,4651.97,399.73,841.2,63.21,16289.0,4840.39,11448.61,70.28
item_7,697.45,208.73,1556.76,134.69,291.76,21.38,9457.46,2830.37,6627.09,70.07
item_8,815.49,243.94,1959.37,170.21,365.5,27.59,10191.25,3048.62,7142.63,70.09
item_9,652.42,196.03,1385.55,121.77,257.8,19.95,9013.1,2708.19,6304.91,69.95
