item_id,stockout_units,overstock_units,stockout_cost,overstock_cost,total_sim_cost,orders_placed
item_1,4201585,0,353059221.16,0.0,353059221.16,1
item_10,2120391,0,161732876.92,0.0,161732876.92,1
item_11,2323448,0,189488861.99,0.0,189488861.99,1
item_12,1946816,0,179272626.87,0.0,179272626.87,1
item_13,3747058,0,302612465.46,0.0,302612465.46,1
item_14,2223435,0,183867030.1,0.0,183867030.1,1
item_15,1981322,0,169611151.99,0.0,169611151.99,1
item_16,2824453,0,208698858.77,0.0,208698858.77,1
item_17,1526790,0,118402617.23,0.0,118402617.23,1
item_18,3659677,0,261026510.53,0.0,261026510.53,1
item_19,1312922,0,105913440.33,0.0,105913440.33,1
item_2,3571321,0,290723446.24,0.0,290723446.24,1
item_20,4255364,0,352982467.03,0.0,352982467.03,1
item_21,3560879,0,277748625.96,0.0,277748625.96,1
item_22,1713327,0,142660214.29,0.0,142660214.29,1
item_23,1090574,0,84950336.51,0.0,84950336.51,1
item_24,3705346,0,277678669.71,0.0,277678669.71,1
item_25,3352664,0,276745691.15,0.0,276745691.15,1
item_26,3425294,0,248522210.52,0.0,248522210.52,1
item_27,3560942,0,276097668.98,0.0,276097668.98,1
item_28,1312342,0,113366668.85,0.0,113366668.85,1
item_29,2228350,0,177354400.38,0.0,177354400.38,1
item_3,4102902,0,335966169.57,0.0,335966169.57,1
item_30,1446776,0,122136870.44,0.0,122136870.44,1
item_31,3856404,0,327524461.36,0.0,327524461.36,1
item_32,3082190,0,259458791.24,0.0,259458791.24,1
item_33,2139511,0,181291537.46,0.0,181291537.46,1
item_34,1278225,0,113027066.85,0.0,113027066.85,1
item_35,2073555,0,171783717.0,0.0,171783717.0,1
item_36,2122650,0,173240114.03,0.0,173240114.03,1
item_37,3422368,0,270281572.82,0.0,270281572.82,1
item_38,3129873,0,217463614.95,0.0,217463614.95,1
item_39,3932870,0,335198569.76,0.0,335198569.76,1
item_4,3959410,0,348269781.0,0.0,348269781.0,1
item_40,2595452,0,213190494.63,0.0,213190494.63,1
item_41,1457563,0,108202196.73,0.0,108202196.73,1
item_42,3372449,0,264619262.57,0.0,264619262.57,1
item_43,3528013,0,285398645.61,0.0,285398645.61,1
item_44,2886258,0,218331036.34,0.0,218331036.34,1
item_45,3561158,0,288720892.96,0.0,288720892.96,1
item_46,2664598,0,202682686.42,0.0,202682686.42,1
item_47,2757541,0,219141811.88,0.0,219141811.88,1
item_48,2455422,0,213732263.7,0.0,213732263.7,1
item_49,1154314,0,94122784.76,0.0,94122784.76,1
item_5,3001101,0,238452518.09,0.0,238452518.09,1
item_50,1420254,0,136110103.42,0.0,136110103.42,1
item_6,4045814,0,324069722.23,0.0,324069722.23,1
item_7,1359067,0,110879494.25,0.0,110879494.25,1
item_8,1706813,0,128113419.81,0.0,128113419.81,1
item_9,1219350,0,100797627.27,0.0,100797627.27,1
